Result;Test;Descr;SuccCount;FailCount;Timing;SysTiming;IncMemBlk;IncMemSize
OK;Reference_EnumItems;;10;0;93;189;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;0;117;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;0;-98;0;0
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;218;3545;0;64
OK;Reference_EnumItems;;10;0;31;-294;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;31;189;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;31;-91;0;0
OK;Tddo;Тестирование подсистемы управления шаблонизированным выводом TDDO;1;0;31;77063;3371;1043645
OK;PPBillFormula;Тестирование формул для документов;1;0;0;0;1;48
OK;PPAbstractDevice;Тестирование модуля, работающего с устройствами;1;0;0;0;0;0
OK;ObjWorld;Тестирование функций класса PPObjWorld;1;0;0;327;0;0
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;359;3453;0;64
OK;Reference_EnumItems;;10;0;93;-104;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;62;-111;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;62;117;0;0
FAIL;Tddo;Тестирование подсистемы управления шаблонизированным выводом TDDO;0;1;31;53785;3371;1043645
OK;PPBillFormula;Тестирование формул для документов;1;0;0;0;1;48
OK;PPAbstractDevice;Тестирование модуля, работающего с устройствами;1;0;0;0;0;0
OK;ObjWorld;Тестирование функций класса PPObjWorld;1;0;15;-19;0;0
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;234;3250;0;64
OK;Reference_EnumItems;;10;0;78;216;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;15;-327;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;46;327;0;0
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;828;3368;0;64
OK;Reference_EnumItems;;10;0;109;190;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;78;124;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;15;3243;0;0
OK;Tddo;Тестирование подсистемы управления шаблонизированным выводом TDDO;1;0;15;-84108;3371;1043645
OK;PPBillFormula;Тестирование формул для документов;1;0;0;0;1;48
OK;PPAbstractDevice;Тестирование модуля, работающего с устройствами;1;0;0;0;0;0
OK;ObjWorld;Тестирование функций класса PPObjWorld;1;0;0;-314;0;0
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;5218;50541;0;32
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;421;3446;0;64
OK;Reference_EnumItems;;10;0;109;-13;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;109;-104;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;78;104;0;0
OK;Tddo;Тестирование подсистемы управления шаблонизированным выводом TDDO;1;0;15;10184;3450;1059484
OK;PPBillFormula;Тестирование формул для документов;1;0;0;-13;1;48
FAIL;PPAbstractDevice;Тестирование модуля, работающего с устройствами;0;1;0;0;0;0
OK;ObjWorld;Тестирование функций класса PPObjWorld;1;0;0;-222;0;0
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;375;3263;0;64
OK;Reference_EnumItems;;10;0;140;314;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;93;-104;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;46;105;0;0
OK;Tddo;Тестирование подсистемы управления шаблонизированным выводом TDDO;1;0;15;10053;3450;1059484
OK;PPBillFormula;Тестирование формул для документов;1;0;0;0;1;48
FAIL;PPAbstractDevice;Тестирование модуля, работающего с устройствами;0;1;0;0;0;0
OK;ObjWorld;Тестирование функций класса PPObjWorld;1;0;0;0;0;0
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;500;3354;0;64
OK;Reference_EnumItems;;10;0;109;-104;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;109;210;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;78;-196;0;0
OK;Tddo;Тестирование подсистемы управления шаблонизированным выводом TDDO;1;0;31;37210;3450;1059484
OK;PPBillFormula;Тестирование формул для документов;1;0;0;0;1;48
FAIL;PPAbstractDevice;Тестирование модуля, работающего с устройствами;0;1;0;0;0;0
OK;ObjWorld;Тестирование функций класса PPObjWorld;1;0;0;-13;0;0
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;640;3158;0;64
OK;Reference_EnumItems;;10;0;46;-117;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;93;314;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;31;-104;0;0
OK;Tddo;Тестирование подсистемы управления шаблонизированным выводом TDDO;1;0;15;80531;3450;1059484
OK;PPBillFormula;Тестирование формул для документов;1;0;0;0;1;48
FAIL;PPAbstractDevice;Тестирование модуля, работающего с устройствами;0;1;0;0;0;0
OK;ObjWorld;Тестирование функций класса PPObjWorld;1;0;0;91;0;0
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;953;6698;0;64
OK;Reference_EnumItems;;10;0;281;-210;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;109;118;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;125;-13;0;0
OK;Tddo;Тестирование подсистемы управления шаблонизированным выводом TDDO;1;0;31;-301990;3450;1059484
OK;PPBillFormula;Тестирование формул для документов;1;0;0;0;1;48
FAIL;PPAbstractDevice;Тестирование модуля, работающего с устройствами;0;1;0;0;0;0
OK;ObjWorld;Тестирование функций класса PPObjWorld;1;0;0;104;0;0
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;671;3656;0;64
OK;Reference_EnumItems;;10;0;93;-104;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;62;-209;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;31;209;0;0
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;421;6383;0;64
OK;Reference_EnumItems;;10;0;93;118;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;93;0;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;78;-104;0;0
OK;Tddo;Тестирование подсистемы управления шаблонизированным выводом TDDO;1;0;31;6907;3450;1059484
OK;PPBillFormula;Тестирование формул для документов;1;0;0;0;1;48
FAIL;PPAbstractDevice;Тестирование модуля, работающего с устройствами;0;1;0;0;0;0
OK;ObjWorld;Тестирование функций класса PPObjWorld;1;0;0;105;0;0
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;828;3473;0;64
OK;Reference_EnumItems;;10;0;171;3145;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;31;0;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;93;327;0;0
OK;Tddo;Тестирование подсистемы управления шаблонизированным выводом TDDO;1;0;31;-222;3450;1059484
OK;PPBillFormula;Тестирование формул для документов;1;0;0;91;1;48
FAIL;PPAbstractDevice;Тестирование модуля, работающего с устройствами;0;1;0;0;0;0
OK;ObjWorld;Тестирование функций класса PPObjWorld;1;0;0;0;0;0
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;406;3040;0;64
OK;Reference_EnumItems;;10;0;93;209;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;78;105;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;31;-92;0;0
OK;Tddo;Тестирование подсистемы управления шаблонизированным выводом TDDO;1;0;46;9843;3450;1059484
OK;PPBillFormula;Тестирование формул для документов;1;0;0;91;1;48
FAIL;PPAbstractDevice;Тестирование модуля, работающего с устройствами;0;1;0;0;0;0
OK;ObjWorld;Тестирование функций класса PPObjWorld;1;0;0;13;0;0
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;734;3355;0;64
OK;Reference_EnumItems;;10;0;125;13;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;62;0;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;93;-104;0;0
OK;Tddo;Тестирование подсистемы управления шаблонизированным выводом TDDO;1;0;31;92;3450;1059484
OK;PPBillFormula;Тестирование формул для документов;1;0;0;0;1;48
FAIL;PPAbstractDevice;Тестирование модуля, работающего с устройствами;0;1;0;0;0;0
OK;ObjWorld;Тестирование функций класса PPObjWorld;1;0;0;91;0;0
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;406;3460;0;64
OK;Reference_EnumItems;;10;0;93;-196;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;46;91;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;46;-104;0;0
OK;Tddo;Тестирование подсистемы управления шаблонизированным выводом TDDO;1;0;31;104;3450;1059484
OK;PPBillFormula;Тестирование формул для документов;1;0;0;0;1;48
FAIL;PPAbstractDevice;Тестирование модуля, работающего с устройствами;0;1;0;0;0;0
OK;ObjWorld;Тестирование функций класса PPObjWorld;1;0;0;91;0;0
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;859;3565;0;64
OK;Reference_EnumItems;;10;0;187;105;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;62;0;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;78;-104;0;0
OK;Tddo;Тестирование подсистемы управления шаблонизированным выводом TDDO;1;0;31;91;3450;1059484
OK;PPBillFormula;Тестирование формул для документов;1;0;0;0;1;48
FAIL;PPAbstractDevice;Тестирование модуля, работающего с устройствами;0;1;0;0;0;0
OK;ObjWorld;Тестирование функций класса PPObjWorld;1;0;0;-327;0;0
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;484;3038;0;64
OK;Reference_EnumItems;;10;0;109;95;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;93;212;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;78;-208;0;0
OK;Tddo;Тестирование подсистемы управления шаблонизированным выводом TDDO;1;0;62;213;3482;1065684
FAIL;PPBillGuid;Тестирование GUID документа: генерация, извлечение и поиск;0;1;0;0;13;1912;(BillObj->PutGuid(g_item.BillID, &g_item.Uuid, 0))==0
OK;PPBillFormula;Тестирование формул для документов;1;0;0;2;1;48
FAIL;PPAbstractDevice;Тестирование модуля, работающего с устройствами;0;1;0;0;0;0
OK;ObjWorld;Тестирование функций класса PPObjWorld;1;0;0;-310;0;0
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;546;-11;0;64
OK;Reference_EnumItems;;10;0;140;-95;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;31;-112;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;31;213;0;0
OK;Tddo;Тестирование подсистемы управления шаблонизированным выводом TDDO;1;0;46;106;3482;1065684
OK;PPBillGuid;Тестирование GUID документа: генерация, извлечение и поиск;1;0;0;3040;15;2050
OK;PPBillFormula;Тестирование формул для документов;1;0;0;0;1;48
FAIL;PPAbstractDevice;Тестирование модуля, работающего с устройствами;0;1;0;0;0;0
OK;ObjWorld;Тестирование функций класса PPObjWorld;1;0;0;5;0;0
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;515;3569;0;64
OK;Reference_EnumItems;;10;0;187;105;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;62;-6;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;46;-107;0;0
OK;Tddo;Тестирование подсистемы управления шаблонизированным выводом TDDO;1;0;46;7;3482;1065684
OK;PPBillGuid;Тестирование GUID документа: генерация, извлечение и поиск;1;0;0;-8;15;2050
OK;PPBillFormula;Тестирование формул для документов;1;0;0;0;1;48
FAIL;PPAbstractDevice;Тестирование модуля, работающего с устройствами;0;1;0;0;0;0
OK;ObjWorld;Тестирование функций класса PPObjWorld;1;0;0;3045;0;0
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;875;3348;0;64
OK;Reference_EnumItems;;10;0;156;8;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;31;3145;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;93;201;0;0
OK;Tddo;Тестирование подсистемы управления шаблонизированным выводом TDDO;1;0;31;-307;3560;1201180
OK;PPBillGuid;Тестирование GUID документа: генерация, извлечение и поиск;1;0;0;203;16;2140
OK;PPBillFormula;Тестирование формул для документов;1;0;0;6;0;0
FAIL;PPAbstractDevice;Тестирование модуля, работающего с устройствами;0;1;0;0;0;0
OK;ObjWorld;Тестирование функций класса PPObjWorld;1;0;0;98;0;0
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;687;3468;0;64
OK;Reference_EnumItems;;10;0;140;3145;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;62;-6;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;46;-98;0;0
OK;Tddo;Тестирование подсистемы управления шаблонизированным выводом TDDO;1;0;46;-1;3560;1201180
OK;PPBillGuid;Тестирование GUID документа: генерация, извлечение и поиск;1;0;0;104;16;2140
OK;PPBillFormula;Тестирование формул для документов;1;0;0;0;0;0
FAIL;PPAbstractDevice;Тестирование модуля, работающего с устройствами;0;1;0;0;0;0
OK;ObjWorld;Тестирование функций класса PPObjWorld;1;0;0;104;0;0
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;734;3669;0;64
OK;Reference_EnumItems;;10;0;218;-104;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;93;3152;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;31;308;0;0
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;1000;3257;0;64
OK;Reference_EnumItems;;10;0;93;97;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;46;6;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;62;-110;0;0
FAIL;PPImpExpSessXml;Тест экспорта выборки кассовых сессий. Экспортируем из текущей базы, импортируем в указанную, потом из нее же снова экспортируем;0;1;0;0;80;18809;(SFile::Rename(ini_file_name, old_ini_file_name))==0
OK;Tddo;Тестирование подсистемы управления шаблонизированным выводом TDDO;1;0;31;110;3566;1203068
OK;PPBillGuid;Тестирование GUID документа: генерация, извлечение и поиск;1;0;15;-202;16;2140
OK;PPBillFormula;Тестирование формул для документов;1;0;0;104;0;0
FAIL;PPAbstractDevice;Тестирование модуля, работающего с устройствами;0;1;0;0;0;0
OK;ObjWorld;Тестирование функций класса PPObjWorld;1;0;0;-203;0;0
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;734;3153;0;64
OK;Reference_EnumItems;;10;0;109;209;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;46;3047;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;93;314;0;0
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;500;-209;0;64
OK;Reference_EnumItems;;10;0;125;308;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;109;3146;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;62;103;0;0
FAIL;PPImpExpSessXml;Тест экспорта выборки кассовых сессий. Экспортируем из текущей базы, импортируем в указанную, потом из нее же снова экспортируем;0;1;15;111;80;18809;(SFile::Rename(ini_file_name, old_ini_file_name))==0
OK;Tddo;Тестирование подсистемы управления шаблонизированным выводом TDDO;1;0;31;0;3566;1203068
OK;PPBillGuid;Тестирование GUID документа: генерация, извлечение и поиск;1;0;0;-209;16;2140
OK;PPBillFormula;Тестирование формул для документов;1;0;0;0;0;0
FAIL;PPAbstractDevice;Тестирование модуля, работающего с устройствами;0;1;0;0;0;0
OK;ObjWorld;Тестирование функций класса PPObjWorld;1;0;0;209;0;0
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;406;3243;0;64
OK;Reference_EnumItems;;10;0;93;315;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;46;-203;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;46;104;0;0
FAIL;PPImpExpSessXml;Тест экспорта выборки кассовых сессий. Экспортируем из текущей базы, импортируем в указанную, потом из нее же снова экспортируем;0;1;0;104;80;18809;(SFile::Rename(ini_file_name, old_ini_file_name))==0
OK;Tddo;Тестирование подсистемы управления шаблонизированным выводом TDDO;1;0;46;-6;3566;1203068
OK;PPBillGuid;Тестирование GUID документа: генерация, извлечение и поиск;1;0;0;-308;16;2140
OK;PPBillFormula;Тестирование формул для документов;1;0;0;0;0;0
FAIL;PPAbstractDevice;Тестирование модуля, работающего с устройствами;0;1;0;0;0;0
OK;ObjWorld;Тестирование функций класса PPObjWorld;1;0;0;0;0;0
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;578;6606;0;64
OK;Reference_EnumItems;;10;0;125;-98;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;78;105;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;46;3348;0;0
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;1093;3034;0;64
OK;Reference_EnumItems;;10;0;62;3565;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;93;104;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;109;-104;0;0
FAIL;PPImpExpSessXml;Тест экспорта выборки кассовых сессий. Экспортируем из текущей базы, импортируем в указанную, потом из нее же снова экспортируем;0;1;31;104;80;18809;(SFile::Rename(ini_file_name, old_ini_file_name))==0
OK;Tddo;Тестирование подсистемы управления шаблонизированным выводом TDDO;1;0;31;6;3566;1204092
OK;PPBillGuid;Тестирование GUID документа: генерация, извлечение и поиск;1;0;46;-209;16;2140
OK;PPBillFormula;Тестирование формул для документов;1;0;0;-6;0;0
FAIL;PPAbstractDevice;Тестирование модуля, работающего с устройствами;0;1;0;0;0;0
OK;ObjWorld;Тестирование функций класса PPObjWorld;1;0;0;105;0;0
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;1062;6750;2;613
OK;Reference_EnumItems;;10;0;62;3322;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;46;235;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;31;0;0;0
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;843;3532;2;613
OK;Reference_EnumItems;;10;0;171;-202;1;68
BENCHMARK;Reference_EnumItems-EnumItems;;;;93;-6;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;46;25;0;0
FAIL;PPImpExpSessXml;Тест экспорта выборки кассовых сессий. Экспортируем из текущей базы, импортируем в указанную, потом из нее же снова экспортируем;0;1;15;123;79;15705;(SFile::Rename(ini_file_name, old_ini_file_name))==0
OK;Tddo;Тестирование подсистемы управления шаблонизированным выводом TDDO;1;0;46;65;3703;1270448
OK;PPBillGuid;Тестирование GUID документа: генерация, извлечение и поиск;1;0;0;3146;17;15752
OK;PPBillFormula;Тестирование формул для документов;1;0;0;118;0;0
FAIL;PPAbstractDevice;Тестирование модуля, работающего с устройствами;0;1;0;0;0;0
OK;ObjWorld;Тестирование функций класса PPObjWorld;1;0;0;84;0;0
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;625;-155;0;0
OK;Reference_EnumItems;;10;0;78;-70;0;0
BENCHMARK;Reference_EnumItems-EnumItems;;;;93;254;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;31;0;0;0
NOTHING;PPImpExpSessXml;Тест экспорта выборки кассовых сессий. Экспортируем из текущей базы, импортируем в указанную, потом из нее же снова экспортируем;0;0;0;0;0;0
OK;Tddo;Тестирование подсистемы управления шаблонизированным выводом TDDO;1;0;15;52;0;0
OK;PPBillGuid;Тестирование GUID документа: генерация, извлечение и поиск;1;0;0;-183;0;0
OK;PPBillFormula;Тестирование формул для документов;1;0;0;0;0;0
FAIL;PPAbstractDevice;Тестирование модуля, работающего с устройствами;0;1;0;0;0;0
OK;ObjWorld;Тестирование функций класса PPObjWorld;1;0;0;183;0;0

20/08/2017 14:47:15
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;390;3383;0;0
OK;Reference_EnumItems;;10;0;46;-284;1;292
BENCHMARK;Reference_EnumItems-EnumItems;;;;15;261;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;46;-26;0;0
NOTHING;PPImpExpSessXml;Тест экспорта выборки кассовых сессий. Экспортируем из текущей базы, импортируем в указанную, потом из нее же снова экспортируем;0;0;0;0;0;0
OK;Tddo;Тестирование подсистемы управления шаблонизированным выводом TDDO;1;0;0;211;3780;1707563
OK;PPBillGuid;Тестирование GUID документа: генерация, извлечение и поиск;1;0;0;-263;19;5060
FAIL;PPBillFormula;Тестирование формул для документов;0;1;0;0;0;0
FAIL;PPAbstractDevice;Тестирование модуля, работающего с устройствами;0;1;0;0;0;0
OK;ObjWorld;Тестирование функций класса PPObjWorld;1;0;0;25;0;0

20/08/2017 15:05:19
OK;TestDbSerialization;Тестирование сериализации записей таблиц данных;1;0;531;3356;0;0
OK;Reference_EnumItems;;10;0;46;-206;1;292
BENCHMARK;Reference_EnumItems-EnumItems;;;;46;77;0;0
BENCHMARK;Reference_EnumItems-NextEnum;;;;31;133;0;0
NOTHING;PPImpExpSessXml;Тест экспорта выборки кассовых сессий. Экспортируем из текущей базы, импортируем в указанную, потом из нее же снова экспортируем;0;0;0;0;0;0
OK;Tddo;Тестирование подсистемы управления шаблонизированным выводом TDDO;1;0;15;54;3780;1707563
OK;PPBillGuid;Тестирование GUID документа: генерация, извлечение и поиск;1;0;0;-2;22;5828
FAIL;PPBillFormula;Тестирование формул для документов;0;1;0;0;0;0
FAIL;PPAbstractDevice;Тестирование модуля, работающего с устройствами;0;1;0;0;0;0
OK;ObjWorld;Тестирование функций класса PPObjWorld;1;0;0;-1;0;0
